Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Algeria,2020-01-09,0.0
Algeria,2020-01-10,0.0
Algeria,2020-01-11,0.0
Algeria,2020-01-12,0.0
Algeria,2020-01-13,0.0
Algeria,2020-01-14,0.0
Algeria,2020-01-15,0.0
Algeria,2020-01-16,0.0
Algeria,2020-01-17,0.0
Algeria,2020-01-18,0.0
Algeria,2020-01-19,0.0
Algeria,2020-01-20,0.0
Algeria,2020-01-21,0.0
Algeria,2020-01-22,0.0
Algeria,2020-01-23,0.0
Algeria,2020-01-24,0.0
Algeria,2020-01-25,0.0
Algeria,2020-01-26,0.0
Algeria,2020-01-27,0.0
Algeria,2020-01-28,0.0
Algeria,2020-01-29,0.0
Algeria,2020-01-30,0.0
Algeria,2020-01-31,0.0
Algeria,2020-02-01,0.0
Algeria,2020-02-02,0.0
Algeria,2020-02-03,0.0
Algeria,2020-02-04,0.0
Algeria,2020-02-05,0.0
Algeria,2020-02-06,0.0
Algeria,2020-02-07,0.0
Algeria,2020-02-08,0.0
Algeria,2020-02-09,0.0
Algeria,2020-02-10,0.0
Algeria,2020-02-11,0.0
Algeria,2020-02-12,0.0
Algeria,2020-02-13,0.0
Algeria,2020-02-14,0.0
Algeria,2020-02-15,0.0
Algeria,2020-02-16,0.0
Algeria,2020-02-17,0.0
Algeria,2020-02-18,0.0
Algeria,2020-02-19,0.0
Algeria,2020-02-20,0.0
Algeria,2020-02-21,0.0
Algeria,2020-02-22,0.0
Algeria,2020-02-23,0.0
Algeria,2020-02-24,0.0
Algeria,2020-02-25,0.0
Algeria,2020-02-26,0.0031412784
Algeria,2020-02-27,0.0031412784
Algeria,2020-02-28,0.0031412784
Algeria,2020-02-29,0.0031412784
Algeria,2020-03-01,0.0031412784
Algeria,2020-03-02,0.0031412784
Algeria,2020-03-03,0.015706392
Algeria,2020-03-04,0.01884767
Algeria,2020-03-05,0.050260454
Algeria,2020-03-06,0.050260454
Algeria,2020-03-07,0.050260454
Algeria,2020-03-08,0.05654301
Algeria,2020-03-09,0.059684288
Algeria,2020-03-10,0.047119174
Algeria,2020-03-11,0.040836617
Algeria,2020-03-12,0.009423835
Algeria,2020-03-13,0.025130227
Algeria,2020-03-14,0.025130227
Algeria,2020-03-15,0.05654301
Algeria,2020-03-16,0.087955795
Algeria,2020-03-17,0.12565114
Algeria,2020-03-18,0.14764008
Algeria,2020-03-19,0.16334647
Algeria,2020-03-20,0.17905286
Algeria,2020-03-21,0.21674821
Algeria,2020-03-22,0.3204104
Algeria,2020-03-23,0.4774743
Algeria,2020-03-24,0.5371586
Algeria,2020-03-25,0.62825567
Algeria,2020-03-26,0.73191786
Algeria,2020-03-27,0.8952643
Algeria,2020-03-28,0.98950267
Algeria,2020-03-29,0.98950267
Algeria,2020-03-30,0.97693753
Algeria,2020-03-31,1.1088712
Algeria,2020-04-01,1.410434
Algeria,2020-04-02,1.6240408
Algeria,2020-04-03,1.9444513
Algeria,2020-04-04,2.393654
Algeria,2020-04-05,2.503599
Algeria,2020-04-06,2.5444355
Algeria,2020-04-07,2.6355326
Algeria,2020-04-08,2.3622413
Algeria,2020-04-09,2.3559587
Algeria,2020-04-10,2.1360693
Algeria,2020-04-11,1.8533542
Algeria,2020-04-12,1.8030938
Algeria,2020-04-13,1.8627781
Algeria,2020-04-14,1.7591158
Algeria,2020-04-15,1.8910495
Algeria,2020-04-16,1.8470716
Algeria,2020-04-17,1.8910495
Algeria,2020-04-18,2.06382
Algeria,2020-04-19,2.2271664
Algeria,2020-04-20,2.246014
Algeria,2020-04-21,2.3088396
Algeria,2020-04-22,2.3276873
Algeria,2020-04-23,2.3559587
Algeria,2020-04-24,2.3214047
Algeria,2020-04-25,2.2271664
Algeria,2020-04-26,2.268003
Algeria,2020-04-27,2.3653827
Algeria,2020-04-28,2.5098815
Algeria,2020-04-29,2.6323912
Algeria,2020-04-30,2.9465191
Algeria,2020-05-01,3.138137
Algeria,2020-05-02,3.2260928
Algeria,2020-05-03,3.2637882
Algeria,2020-05-04,3.430276
Algeria,2020-05-05,3.5527859
Algeria,2020-05-06,3.7349799
Algeria,2020-05-07,3.6093287
Algeria,2020-05-08,3.6941433
Algeria,2020-05-09,3.8166533
Algeria,2020-05-10,3.9674346
Algeria,2020-05-11,3.9234567
Algeria,2020-05-12,3.904609
Algeria,2020-05-13,3.860631
Algeria,2020-05-14,3.9454455
Algeria,2020-05-15,3.9580107
Algeria,2020-05-16,3.961152
Algeria,2020-05-17,3.9674346
Algeria,2020-05-18,4.071097
Algeria,2020-05-19,4.1150746
Algeria,2020-05-20,4.1150746
Algeria,2020-05-21,4.0491076
Algeria,2020-05-22,4.039684
Algeria,2020-05-23,4.0459666
Algeria,2020-05-24,4.0585318
Algeria,2020-05-25,4.042825
Algeria,2020-05-26,4.0899444
Algeria,2020-05-27,4.146487
Algeria,2020-05-28,4.130781
Algeria,2020-05-29,3.986282
Algeria,2020-05-30,3.8197944
Algeria,2020-05-31,3.6250353
Algeria,2020-06-01,3.4177108
Algeria,2020-06-02,3.172691
Algeria,2020-06-03,2.9182475
Algeria,2020-06-04,2.7517598
Algeria,2020-06-05,2.619826
Algeria,2020-06-06,2.5161638
Algeria,2020-06-07,2.459621
Algeria,2020-06-08,2.3873715
Algeria,2020-06-09,2.3622413
Algeria,2020-06-10,2.3748064
Algeria,2020-06-11,2.3591
Algeria,2020-06-12,2.381089
Algeria,2020-06-13,2.3967953
Algeria,2020-06-14,2.3873715
Algeria,2020-06-15,2.4030778
Algeria,2020-06-16,2.428208
Algeria,2020-06-17,2.4030778
Algeria,2020-06-18,2.462762
Algeria,2020-06-19,2.5004575
Algeria,2020-06-20,2.5318704
Algeria,2020-06-21,2.5789895
Algeria,2020-06-22,2.6763692
Algeria,2020-06-23,2.7706075
Algeria,2020-06-24,2.9182475
Algeria,2020-06-25,3.0784528
Algeria,2020-06-26,3.329755
Algeria,2020-06-27,3.7098496
Algeria,2020-06-28,4.199889
Algeria,2020-06-29,4.7182
Algeria,2020-06-30,5.1862507
Algeria,2020-07-01,5.751681
Algeria,2020-07-02,6.3579473
Algeria,2020-07-03,6.948508
Algeria,2020-07-04,7.4919486
Algeria,2020-07-05,7.9537168
Algeria,2020-07-06,8.380931
Algeria,2020-07-07,8.899241
Algeria,2020-07-08,9.335879
Algeria,2020-07-09,9.662572
Algeria,2020-07-10,9.898168
Algeria,2020-07-11,9.964135
Algeria,2020-07-12,10.089786
Algeria,2020-07-13,10.22172
Algeria,2020-07-14,10.319099
Algeria,2020-07-15,10.482446
Algeria,2020-07-16,10.7494545
Algeria,2020-07-17,11.142115
Algeria,2020-07-18,11.641578
Algeria,2020-07-19,12.053085
Algeria,2020-07-20,12.216432
Algeria,2020-07-21,12.571396
Algeria,2020-07-22,12.759872
Algeria,2020-07-23,12.885524
Algeria,2020-07-24,12.970338
Algeria,2020-07-25,13.227923
Algeria,2020-07-26,13.240488
Algeria,2020-07-27,13.422683
Algeria,2020-07-28,13.4509535
Algeria,2020-07-29,13.623724
Algeria,2020-07-30,13.68655
Algeria,2020-07-31,13.655137
Algeria,2020-08-01,13.303313
Algeria,2020-08-02,13.149391
Algeria,2020-08-03,12.904371
Algeria,2020-08-04,12.561972
Algeria,2020-08-05,12.216432
Algeria,2020-08-06,12.018531
Algeria,2020-08-07,11.921151
Algeria,2020-08-08,11.814348
Algeria,2020-08-09,11.757805
Algeria,2020-08-10,11.776652
Algeria,2020-08-11,11.748381
Algeria,2020-08-12,11.62273
Algeria,2020-08-13,11.446818
Algeria,2020-08-14,11.186092
Algeria,2020-08-15,11.022746
Algeria,2020-08-16,10.805998
Algeria,2020-08-17,10.582967
Algeria,2020-08-18,10.407055
Algeria,2020-08-19,10.177742
Algeria,2020-08-20,9.888744
Algeria,2020-08-21,9.646866
Algeria,2020-08-22,9.433259
Algeria,2020-08-23,9.219652
Algeria,2020-08-24,9.037457
Algeria,2020-08-25,8.899241
Algeria,2020-08-26,8.745318
Algeria,2020-08-27,8.7076235
Algeria,2020-08-28,8.663646
Algeria,2020-08-29,8.594538
Algeria,2020-08-30,8.52543
Algeria,2020-08-31,8.437473
Algeria,2020-09-01,8.28041
Algeria,2020-09-02,8.18303
Algeria,2020-09-03,7.9757056
Algeria,2020-09-04,7.705556
Algeria,2020-09-05,7.4448295
Algeria,2020-09-06,7.1903863
Algeria,2020-09-07,6.9673553
Algeria,2020-09-08,6.78202
Algeria,2020-09-09,6.612391
Algeria,2020-09-10,6.464751
Algeria,2020-09-11,6.342241
Algeria,2020-09-12,6.21659
Algeria,2020-09-13,6.081515
Algeria,2020-09-14,5.937016
Algeria,2020-09-15,5.789376
Algeria,2020-09-16,5.641736
Algeria,2020-09-17,5.497237
Algeria,2020-09-18,5.3590207
Algeria,2020-09-19,5.2176633
Algeria,2020-09-20,5.076306
Algeria,2020-09-21,4.9380894
Algeria,2020-09-22,4.796732
Algeria,2020-09-23,4.6490917
Algeria,2020-09-24,4.504593
Algeria,2020-09-25,4.3506703
Algeria,2020-09-26,4.2124543
Algeria,2020-09-27,4.0553904
Algeria,2020-09-28,3.8983264
Algeria,2020-09-29,3.7381213
Algeria,2020-09-30,3.6250353
Algeria,2020-10-01,3.5496445
Algeria,2020-10-02,3.4899602
Algeria,2020-10-03,3.4334173
Algeria,2020-10-04,3.395722
Algeria,2020-10-05,3.3580265
Algeria,2020-10-06,3.320331
Algeria,2020-10-07,3.238658
Algeria,2020-10-08,3.1098657
Algeria,2020-10-09,3.0407574
Algeria,2020-10-10,3.0062034
Algeria,2020-10-11,2.968508
Algeria,2020-10-12,2.9402366
Algeria,2020-10-13,2.9999208
Algeria,2020-10-14,3.1412783
Algeria,2020-10-15,3.3423202
Algeria,2020-10-16,3.5150905
Algeria,2020-10-17,3.7506864
Algeria,2020-10-18,3.9674346
Algeria,2020-10-19,4.1779003
Algeria,2020-10-20,4.3695183
Algeria,2020-10-21,4.523441
Algeria,2020-10-22,4.7339063
Algeria,2020-10-23,4.9632196
Algeria,2020-10-24,5.1265664
Algeria,2020-10-25,4.482604
Algeria,2020-10-26,3.8574898
Algeria,2020-10-27,5.663725
Algeria,2020-10-28,5.8647666
Algeria,2020-10-29,6.0783734
Algeria,2020-10-30,6.204025
Algeria,2020-10-31,6.3485236
Algeria,2020-11-01,7.2626357
Algeria,2020-11-02,8.299257
Algeria,2020-11-03,6.769455
Algeria,2020-11-04,7.1401258
Algeria,2020-11-05,7.856337
Algeria,2020-11-06,8.911807
Algeria,2020-11-07,9.891886
Algeria,2020-11-08,10.802856
Algeria,2020-11-09,11.870891
Algeria,2020-11-10,12.938926
Algeria,2020-11-11,14.03209
Algeria,2020-11-12,14.858247
Algeria,2020-11-13,15.514773
Algeria,2020-11-14,16.256115
Algeria,2020-11-15,17.082272
Algeria,2020-11-16,17.679115
Algeria,2020-11-17,18.520977
Algeria,2020-11-18,19.303156
Algeria,2020-11-19,20.016226
Algeria,2020-11-20,20.556526
Algeria,2020-11-21,21.297867
Algeria,2020-11-22,21.847591
Algeria,2020-11-23,22.563803
Algeria,2020-11-24,22.862225
Algeria,2020-11-25,23.273731
Algeria,2020-11-26,23.232895
Algeria,2020-11-27,23.427654
Algeria,2020-11-28,23.286297
Algeria,2020-11-29,23.364828
Algeria,2020-11-30,23.116667
Algeria,2020-12-01,23.031853
Algeria,2020-12-02,22.466423
Algeria,2020-12-03,22.174284
Algeria,2020-12-04,21.414095
Algeria,2020-12-05,20.613068
Algeria,2020-12-06,19.75864
Algeria,2020-12-07,18.94505
Algeria,2020-12-08,17.672832
Algeria,2020-12-09,16.535688
Algeria,2020-12-10,15.486502
Algeria,2020-12-11,14.613227
Algeria,2020-12-12,13.793353
Algeria,2020-12-13,12.992327
Algeria,2020-12-14,12.093922
Algeria,2020-12-15,11.848902
Algeria,2020-12-16,11.462524
Algeria,2020-12-17,10.972486
Algeria,2020-12-18,10.535848
Algeria,2020-12-19,10.209154
Algeria,2020-12-20,9.873037
Algeria,2020-12-21,9.741104
Algeria,2020-12-22,9.618594
Algeria,2020-12-23,9.4364
Algeria,2020-12-24,9.555769
Algeria,2020-12-25,9.65629
Algeria,2020-12-26,9.643724
Algeria,2020-12-27,9.662572
Algeria,2020-12-28,9.568334
Algeria,2020-12-29,8.135911
Algeria,2020-12-30,7.9694233
Algeria,2020-12-31,8.67621
Algeria,2021-01-01,8.176747
Algeria,2021-01-02,7.7149796
Algeria,2021-01-03,7.2312226
Algeria,2021-01-04,6.78202
Algeria,2021-01-05,7.526503
Algeria,2021-01-06,7.121278
Algeria,2021-01-07,5.6825724
Algeria,2021-01-08,5.566345
Algeria,2021-01-09,5.52865
Algeria,2021-01-10,5.5098023
Algeria,2021-01-11,5.453259
Algeria,2021-01-12,5.415564
Algeria,2021-01-13,5.55378
Algeria,2021-01-14,5.465824
Algeria,2021-01-15,5.4815307
Algeria,2021-01-16,5.415564
Algeria,2021-01-17,5.3338904
Algeria,2021-01-18,5.3056192
Algeria,2021-01-19,5.4124227
Algeria,2021-01-20,5.3401732
Algeria,2021-01-21,5.484672
Algeria,2021-01-22,5.418705
Algeria,2021-01-23,5.4752483
Algeria,2021-01-24,5.5223675
Algeria,2021-01-25,5.5380735
Algeria,2021-01-26,5.5349326
Algeria,2021-01-27,5.5160847
Algeria,2021-01-28,5.506661
Algeria,2021-01-29,5.5223675
Algeria,2021-01-30,5.5380735
Algeria,2021-01-31,5.506661
Algeria,2021-02-01,5.4752483
Algeria,2021-02-02,5.415564
Algeria,2021-02-03,5.4783893
Algeria,2021-02-04,5.519226
Algeria,2021-02-05,5.563204
Algeria,2021-02-06,5.472107
Algeria,2021-02-07,5.4344115
Algeria,2021-02-08,5.494096
Algeria,2021-02-09,5.450118
Algeria,2021-02-10,5.396716
Algeria,2021-02-11,5.23337
Algeria,2021-02-12,5.239652
Algeria,2021-02-13,5.2585
Algeria,2021-02-14,5.2176633
Algeria,2021-02-15,5.0982947
Algeria,2021-02-16,4.966361
Algeria,2021-02-17,4.7433305
Algeria,2021-02-18,4.6019726
Algeria,2021-02-19,4.3004103
Algeria,2021-02-20,4.074238
Algeria,2021-02-21,3.9297392
Algeria,2021-02-22,3.7883816
Algeria,2021-02-23,3.769534
Algeria,2021-02-24,3.8009467
Algeria,2021-02-25,3.8135118
Algeria,2021-02-26,3.782099
Algeria,2021-02-27,3.7852404
Algeria,2021-02-28,3.756969
Algeria,2021-03-01,3.6910021
Algeria,2021-03-02,3.6470242
Algeria,2021-03-03,3.6156113
Algeria,2021-03-04,3.555927
Algeria,2021-03-05,3.577916
Algeria,2021-03-06,3.590481
Algeria,2021-03-07,3.5936224
Algeria,2021-03-08,3.5873399
Algeria,2021-03-09,3.5402207
Algeria,2021-03-10,3.4962428
Algeria,2021-03-11,3.4177108
Algeria,2021-03-12,3.4239933
Algeria,2021-03-13,3.329755
Algeria,2021-03-14,3.2637882
Algeria,2021-03-15,3.238658
Algeria,2021-03-16,3.2292342
Algeria,2021-03-17,3.1318545
Algeria,2021-03-18,3.1632674
Algeria,2021-03-19,3.1130068
Algeria,2021-03-20,3.0219097
Algeria,2021-03-21,2.8994
Algeria,2021-03-22,2.8020203
Algeria,2021-03-23,2.65438
Algeria,2021-03-24,2.541294
Algeria,2021-03-25,2.3559587
Algeria,2021-03-26,2.2020361
Algeria,2021-03-27,2.1580582
Algeria,2021-03-28,2.1486344
Algeria,2021-03-29,2.132928
Algeria,2021-03-30,2.1706233
Algeria,2021-03-31,2.2365901
Algeria,2021-04-01,2.3685238
Algeria,2021-04-02,2.3905127
Algeria,2021-04-03,2.425067
Algeria,2021-04-04,2.4313495
Algeria,2021-04-05,2.4690447
Algeria,2021-04-06,2.4910338
Algeria,2021-04-07,2.5695658
Algeria,2021-04-08,2.550718
Algeria,2021-04-09,2.550718
Algeria,2021-04-10,2.5821307
Algeria,2021-04-11,2.6826518
Algeria,2021-04-12,2.8083029
Algeria,2021-04-13,2.845998
Algeria,2021-04-14,2.889976
Algeria,2021-04-15,3.0501812
Algeria,2021-04-16,3.2229517
Algeria,2021-04-17,3.3674505
Algeria,2021-04-18,3.4805365
Algeria,2021-04-19,3.5370793
Algeria,2021-04-20,3.6438828
Algeria,2021-04-21,3.747545
Algeria,2021-04-22,3.7663927
Algeria,2021-04-23,3.835501
Algeria,2021-04-24,3.8920438
Algeria,2021-04-25,3.9265978
Algeria,2021-04-26,4.0208364
Algeria,2021-04-27,4.105651
Algeria,2021-04-28,4.2470083
Algeria,2021-04-29,4.4166374
Algeria,2021-04-30,4.721341
Algeria,2021-05-01,4.856416
Algeria,2021-05-02,4.9475136
Algeria,2021-05-03,5.0260453
Algeria,2021-05-04,5.041752
Algeria,2021-05-05,5.198816
Algeria,2021-05-06,5.315043
Algeria,2021-05-07,5.048034
Algeria,2021-05-08,4.975785
Algeria,2021-05-09,4.9914913
Algeria,2021-05-10,4.9695024
Algeria,2021-05-11,4.9349484
Algeria,2021-05-12,4.661657
Algeria,2021-05-13,4.4292026
Algeria,2021-05-14,4.44805
Algeria,2021-05-15,4.2941275
Algeria,2021-05-16,4.064814
Algeria,2021-05-17,3.791523
Algeria,2021-05-18,3.7601101
Algeria,2021-05-19,3.8009467
Algeria,2021-05-20,3.8135118
Algeria,2021-05-21,3.9799995
Algeria,2021-05-22,4.3192577
Algeria,2021-05-23,4.5768423
Algeria,2021-05-24,4.86584
Algeria,2021-05-25,5.0951533
Algeria,2021-05-26,5.239652
Algeria,2021-05-27,5.497237
Algeria,2021-05-28,5.5600624
Algeria,2021-05-29,5.541215
Algeria,2021-05-30,5.670007
Algeria,2021-05-31,5.8584843
Algeria,2021-06-01,5.9872766
Algeria,2021-06-02,6.147482
Algeria,2021-06-03,6.263709
Algeria,2021-06-04,6.4396205
Algeria,2021-06-05,6.794585
Algeria,2021-06-06,6.989344
Algeria,2021-06-07,7.0144744
Algeria,2021-06-08,7.130702
Algeria,2021-06-09,7.316037
Algeria,2021-06-10,7.5202203
Algeria,2021-06-11,7.473101
Algeria,2021-06-12,7.4322643
Algeria,2021-06-13,7.5045137
Algeria,2021-06-14,7.6333065
Algeria,2021-06-15,7.7244034
Algeria,2021-06-16,7.752675
Algeria,2021-06-17,7.6144586
Algeria,2021-06-18,7.8060765
Algeria,2021-06-19,7.8280654
Algeria,2021-06-20,7.903456
Algeria,2021-06-21,7.978847
Algeria,2021-06-22,8.016542
Algeria,2021-06-23,8.054237
Algeria,2021-06-24,8.139052
Algeria,2021-06-25,8.051096
Algeria,2021-06-26,8.019684
Algeria,2021-06-27,7.93801
Algeria,2021-06-28,7.9694233
Algeria,2021-06-29,7.9976945
Algeria,2021-06-30,8.01026
Algeria,2021-07-01,8.095075
Algeria,2021-07-02,8.393496
Algeria,2021-07-03,8.726471
Algeria,2021-07-04,9.090859
Algeria,2021-07-05,9.442682
Algeria,2021-07-06,9.819636
Algeria,2021-07-07,10.108634
Algeria,2021-07-08,10.699194
Algeria,2021-07-09,11.236353
Algeria,2021-07-10,12.354648
Algeria,2021-07-11,13.472942
Algeria,2021-07-12,14.484434
Algeria,2021-07-13,15.687544
Algeria,2021-07-14,17.075989
Algeria,2021-07-15,18.10947
Algeria,2021-07-16,19.645555
Algeria,2021-07-17,20.795263
Algeria,2021-07-18,21.718798
Algeria,2021-07-19,22.702019
Algeria,2021-07-20,23.64126
Algeria,2021-07-21,24.81924
Algeria,2021-07-22,25.783613
Algeria,2021-07-23,26.094599
Algeria,2021-07-24,26.575214
Algeria,2021-07-25,27.197187
Algeria,2021-07-26,27.787748
Algeria,2021-07-27,28.818087
Algeria,2021-07-28,29.590841
Algeria,2021-07-29,31.808584
Algeria,2021-07-30,32.842064
Algeria,2021-07-31,33.379223
Algeria,2021-08-01,33.058815
Algeria,2021-08-02,32.697567
Algeria,2021-08-03,32.235798
Algeria,2021-08-04,31.491316
Algeria,2021-08-05,30.134283
Algeria,2021-08-06,29.355246
Algeria,2021-08-07,28.35632
Algeria,2021-08-08,28.158419
Algeria,2021-08-09,27.680944
Algeria,2021-08-10,26.531237
Algeria,2021-08-11,25.500898
Algeria,2021-08-12,23.455925
Algeria,2021-08-13,22.080046
Algeria,2021-08-14,21.002586
Algeria,2021-08-15,19.786913
Algeria,2021-08-16,18.477
Algeria,2021-08-17,17.591158
Algeria,2021-08-18,16.699036
Algeria,2021-08-19,16.312658
Algeria,2021-08-20,15.819478
Algeria,2021-08-21,14.933638
Algeria,2021-08-22,14.186013
Algeria,2021-08-23,13.586029
Algeria,2021-08-24,12.945208
Algeria,2021-08-25,12.448886
Algeria,2021-08-26,11.896021
Algeria,2021-08-27,11.296037
Algeria,2021-08-28,11.088713
Algeria,2021-08-29,10.994474
Algeria,2021-08-30,11.242635
Algeria,2021-08-31,10.947355
Algeria,2021-09-01,10.849976
Algeria,2021-09-02,10.54213
Algeria,2021-09-03,10.180883
Algeria,2021-09-04,9.807071
Algeria,2021-09-05,9.38614
Algeria,2021-09-06,8.927513
Algeria,2021-09-07,8.603961
Algeria,2021-09-08,8.057379
Algeria,2021-09-09,7.6490126
Algeria,2021-09-10,7.413417
Algeria,2021-09-11,7.0741587
Algeria,2021-09-12,6.794585
Algeria,2021-09-13,6.4835987
Algeria,2021-09-14,6.244861
Algeria,2021-09-15,5.915027
Algeria,2021-09-16,5.6794314
Algeria,2021-09-17,5.384151
Algeria,2021-09-18,5.227087
Algeria,2021-09-19,4.4040723
Algeria,2021-09-20,4.8124385
Algeria,2021-09-21,4.6019726
Algeria,2021-09-22,4.460615
Algeria,2021-09-23,4.2470083
Algeria,2021-09-24,4.064814
Algeria,2021-09-25,3.8480659
Algeria,2021-09-26,4.2407255
Algeria,2021-09-27,3.5245142
Algeria,2021-09-28,3.4899602
Algeria,2021-09-29,3.4459822
Algeria,2021-09-30,3.3800154
Algeria,2021-10-01,3.3800154
Algeria,2021-10-02,3.3548853
Algeria,2021-10-03,3.4020045
Algeria,2021-10-04,3.351744
